epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,217000.5,1.38528,0.72565,0.79386,0.84987,0.80302,0.8579,0.52574,1.18476,0.59938,0.78197,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
58,219840.7,1.38078,0.72017,0.793,0.8494,0.80492,0.85862,0.5266,1.18321,0.59779,0.78184,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
59,222670,1.37474,0.71458,0.79215,0.8502,0.80541,0.85939,0.52764,1.18159,0.59641,0.78155,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
60,225514.5,1.36863,0.70758,0.79156,0.85143,0.80572,0.86048,0.52905,1.17974,0.59473,0.78134,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
61,228088.9,1.32702,0.68951,0.80405,0.85126,0.80564,0.86033,0.52913,1.18033,0.59411,0.78144,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,230710,1.31695,0.68059,0.8031,0.85262,0.80451,0.86037,0.52903,1.18115,0.59343,0.7815,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
63,233262.6,1.30857,0.67336,0.80199,0.85352,0.80389,0.86043,0.52921,1.18164,0.59244,0.78148,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
64,235869.4,1.29864,0.66391,0.80053,0.85548,0.8031,0.86074,0.52954,1.18267,0.59134,0.78143,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
65,238426.1,1.28525,0.65324,0.79964,0.85581,0.80318,0.86122,0.53033,1.18234,0.59,0.78129,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
66,241030.1,1.27671,0.6457,0.79797,0.85627,0.80388,0.86207,0.53105,1.18215,0.58848,0.78114,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
67,243630.8,1.26167,0.63168,0.79677,0.85739,0.80412,0.86311,0.53253,1.18083,0.58665,0.78092,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
68,246216,1.24536,0.61712,0.79526,0.85775,0.80498,0.86461,0.53444,1.17797,0.58471,0.78069,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
69,248833,1.22985,0.60276,0.79269,0.8596,0.80488,0.86604,0.53646,1.17482,0.58306,0.78037,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
70,251441.2,1.20648,0.5843,0.79184,0.86143,0.80552,0.8677,0.53845,1.17225,0.58152,0.78005,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
